Product_ID,Category,Ingredient,Brand,Store,Link,Serving_Form,Typical_Use,Timing,Avoid_If,Third_Party_Tested,NSF_Certified,Price,Est_Monthly_Cost,Notes,Evidence_Link,NCAA_Risk_Tier,Athlete_Safe_OK
IBX-0015,Zinc,Zinc picolinate,,,,packet,immune support,Any,nausea on empty stomach; long-term high dose can lower copper,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0016,Multivitamin,Multivitamin (no stimulants),,,,liquid,general health,AM,check iron content if not needed,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0017,Curcumin,Curcumin (turmeric extract),,,,packet,recovery/joints,Any,blood thinners—ask clinician; gallbladder issues,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0018,Glucosamine,Glucosamine sulfate,,,,powder,joints,AM,shellfish allergy (some sources),Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0019,Chondroitin,Chondroitin sulfate,,,,powder,joints,Any,blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0020,Glycine,Glycine,,,,gummy,sleep/recovery,PM,GI upset possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0021,L-Theanine,L-theanine,,,,powder,focus/sleep,AM,may lower blood pressure; sedation with other agents,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0022,Melatonin,Melatonin (low-dose),,,,packet,sleep,Any,avoid if athletic dept restricts; next-day grogginess possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0023,EAA,Essential amino acids (EAA blend),,,,capsule,recovery/strength,Any,PKU—avoid phenylalanine,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0024,BCAA,BCAA (2:1:1),,,,capsule,recovery,Any,PKU—avoid phenylalanine,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0025,Citrulline,L-citrulline,,,,capsule,endurance,Any,low blood pressure—caution,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0026,Taurine,Taurine,,,,liquid,endurance/recovery,AM,kidney disease—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0027,Iron,Iron (only if deficient),,,,capsule,general health/endurance,Any,do not use unless directed; GI upset common,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0028,Calcium,Calcium citrate,,,,softgel,general health,Any,kidney stones—caution; separate from iron,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0029,Potassium,Potassium (low-dose),,,,powder,hydration,Any,kidney disease; ACE inhibitors—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0030,Sodium,Sodium (salt tabs / sodium citrate),,,,tablet,hydration/endurance,Any,hypertension—monitor,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0031,Digestive Enzymes,Digestive enzyme blend (non-stimulant),,,,packet,gut,PM,food allergies to enzyme sources,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0032,Ginger,Ginger extract,,,,softgel,gut/recovery,Any,blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0033,Peppermint,Peppermint oil (enteric coated),,,,packet,gut,AM,reflux/GERD can worsen,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0034,Creatine,Creatine monohydrate,,,,softgel,strength/recovery,PM,kidney disease; consult clinician if concerns,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pmc.ncbi.nlm.nih.gov/articles/PMC8228369/,Green,Y
IBX-0035,Omega-3,Omega-3 fish oil (EPA/DHA),,,,softgel,recovery/general health,Any,fish allergy; blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/32382573/,Green,Y
IBX-0036,Magnesium,Magnesium glycinate,,,,packet,sleep/recovery,Any,kidney disease; may cause GI upset,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/35184264/,Green,Y
IBX-0037,Vitamin D,Vitamin D3 (cholecalciferol),,,,tablet,general health/strength,PM,hypercalcemia; consult clinician for dosing,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/38860160/,Green,Y
IBX-0038,Electrolytes,Electrolyte mix (sodium/potassium/magnesium),,,,powder,hydration/endurance,Training,kidney disease; hypertension—monitor sodium,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0039,Protein,Whey protein isolate,,,,capsule,recovery/strength,Training,dairy allergy; lactose intolerance (choose isolate),Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0040,Protein,Casein protein,,,,tablet,recovery,PM,dairy allergy,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0041,Collagen,Collagen peptides,,,,powder,joints/recovery,Any,animal protein allergy,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0042,Tart Cherry,Tart cherry (concentrate or extract),,,,capsule,recovery/sleep,PM,GI sensitivity (sorbitol); diabetes—watch sugars,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/33440334/,Green,Y
IBX-0043,Beetroot,Beetroot (dietary nitrate),,,,softgel,endurance,Training,low blood pressure; kidney stone history (oxalates) caution,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/27600147/,Green,Y
IBX-0044,Beta-Alanine,Beta-alanine,,,,capsule,endurance/strength,Any,tingling/paresthesia possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/27797728/,Green,Y
IBX-0045,Probiotic,Probiotic (Lactobacillus/Bifidobacterium blend),,,,softgel,gut/immune support,Any,immunocompromised—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/33481001/,Green,Y
IBX-0046,Fiber,Psyllium husk fiber,,,,softgel,gut/general health,Any,swallowing issues; take with water,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0047,Vitamin C,Vitamin C (ascorbic acid),,,,capsule,immune support,PM,kidney stones history—caution with high doses,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0048,Zinc,Zinc picolinate,,,,liquid,immune support,AM,nausea on empty stomach; long-term high dose can lower copper,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0049,Multivitamin,Multivitamin (no stimulants),,,,tablet,general health,AM,check iron content if not needed,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0050,Curcumin,Curcumin (turmeric extract),,,,liquid,recovery/joints,PM,blood thinners—ask clinician; gallbladder issues,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0051,Glucosamine,Glucosamine sulfate,,,,tablet,joints,PM,shellfish allergy (some sources),Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0052,Chondroitin,Chondroitin sulfate,,,,packet,joints,Any,blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0053,Glycine,Glycine,,,,gummy,sleep/recovery,PM,GI upset possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0054,L-Theanine,L-theanine,,,,liquid,focus/sleep,PM,may lower blood pressure; sedation with other agents,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0055,Melatonin,Melatonin (low-dose),,,,liquid,sleep,PM,avoid if athletic dept restricts; next-day grogginess possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0056,EAA,Essential amino acids (EAA blend),,,,powder,recovery/strength,Any,PKU—avoid phenylalanine,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0057,BCAA,BCAA (2:1:1),,,,gummy,recovery,Any,PKU—avoid phenylalanine,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0058,Citrulline,L-citrulline,,,,liquid,endurance,Any,low blood pressure—caution,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0059,Taurine,Taurine,,,,powder,endurance/recovery,Any,kidney disease—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0060,Iron,Iron (only if deficient),,,,capsule,general health/endurance,AM,do not use unless directed; GI upset common,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0061,Calcium,Calcium citrate,,,,softgel,general health,AM,kidney stones—caution; separate from iron,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0062,Potassium,Potassium (low-dose),,,,tablet,hydration,Training,kidney disease; ACE inhibitors—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0063,Sodium,Sodium (salt tabs / sodium citrate),,,,powder,hydration/endurance,Any,hypertension—monitor,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0064,Digestive Enzymes,Digestive enzyme blend (non-stimulant),,,,capsule,gut,Any,food allergies to enzyme sources,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0065,Ginger,Ginger extract,,,,liquid,gut/recovery,AM,blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0066,Peppermint,Peppermint oil (enteric coated),,,,packet,gut,AM,reflux/GERD can worsen,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0067,Creatine,Creatine monohydrate,,,,capsule,strength/recovery,Any,kidney disease; consult clinician if concerns,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pmc.ncbi.nlm.nih.gov/articles/PMC8228369/,Green,Y
IBX-0068,Omega-3,Omega-3 fish oil (EPA/DHA),,,,packet,recovery/general health,Any,fish allergy; blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/32382573/,Green,Y
IBX-0069,Magnesium,Magnesium glycinate,,,,packet,sleep/recovery,PM,kidney disease; may cause GI upset,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/35184264/,Green,Y
IBX-0070,Vitamin D,Vitamin D3 (cholecalciferol),,,,packet,general health/strength,PM,hypercalcemia; consult clinician for dosing,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/38860160/,Green,Y
IBX-0071,Electrolytes,Electrolyte mix (sodium/potassium/magnesium),,,,tablet,hydration/endurance,Any,kidney disease; hypertension—monitor sodium,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0072,Protein,Whey protein isolate,,,,tablet,recovery/strength,Any,dairy allergy; lactose intolerance (choose isolate),Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0073,Protein,Casein protein,,,,capsule,recovery,Any,dairy allergy,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0074,Collagen,Collagen peptides,,,,softgel,joints/recovery,AM,animal protein allergy,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0075,Tart Cherry,Tart cherry (concentrate or extract),,,,softgel,recovery/sleep,PM,GI sensitivity (sorbitol); diabetes—watch sugars,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/33440334/,Green,Y
IBX-0076,Beetroot,Beetroot (dietary nitrate),,,,powder,endurance,Any,low blood pressure; kidney stone history (oxalates) caution,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/27600147/,Green,Y
IBX-0077,Beta-Alanine,Beta-alanine,,,,powder,endurance/strength,Any,tingling/paresthesia possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/27797728/,Green,Y
IBX-0078,Probiotic,Probiotic (Lactobacillus/Bifidobacterium blend),,,,packet,gut/immune support,PM,immunocompromised—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/33481001/,Green,Y
IBX-0079,Fiber,Psyllium husk fiber,,,,packet,gut/general health,AM,swallowing issues; take with water,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0080,Vitamin C,Vitamin C (ascorbic acid),,,,liquid,immune support,Any,kidney stones history—caution with high doses,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0081,Zinc,Zinc picolinate,,,,liquid,immune support,AM,nausea on empty stomach; long-term high dose can lower copper,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0082,Multivitamin,Multivitamin (no stimulants),,,,powder,general health,Any,check iron content if not needed,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0083,Curcumin,Curcumin (turmeric extract),,,,liquid,recovery/joints,AM,blood thinners—ask clinician; gallbladder issues,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0084,Glucosamine,Glucosamine sulfate,,,,liquid,joints,PM,shellfish allergy (some sources),Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0085,Chondroitin,Chondroitin sulfate,,,,tablet,joints,PM,blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0086,Glycine,Glycine,,,,gummy,sleep/recovery,Any,GI upset possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0087,L-Theanine,L-theanine,,,,gummy,focus/sleep,Any,may lower blood pressure; sedation with other agents,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0088,Melatonin,Melatonin (low-dose),,,,softgel,sleep,PM,avoid if athletic dept restricts; next-day grogginess possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0089,EAA,Essential amino acids (EAA blend),,,,softgel,recovery/strength,Any,PKU—avoid phenylalanine,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0090,BCAA,BCAA (2:1:1),,,,packet,recovery,Any,PKU—avoid phenylalanine,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0091,Citrulline,L-citrulline,,,,gummy,endurance,Training,low blood pressure—caution,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0092,Taurine,Taurine,,,,packet,endurance/recovery,AM,kidney disease—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0093,Iron,Iron (only if deficient),,,,packet,general health/endurance,AM,do not use unless directed; GI upset common,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
