Product_ID,Category,Ingredient,Brand,Store,Link,Serving_Form,Typical_Use,Timing,Avoid_If,Third_Party_Tested,NSF_Certified,Price,Est_Monthly_Cost,Notes
IBX-0042,Focus,Omega-3 (cognition),Kirkland Signature Fish Oil,Costco,https://www.costco.com/kirkland-signature-fish-oil-1000-mg.%2C-400-softgels.product.11072245.html,softgel,focus/general health,Any,fish allergy; anticoagulants,Y,Unknown,~$25,~$5-10,Use existing omega-3; no separate SKU needed
IBX-0043,Focus,Creatine monohydrate (cognition),Any creatine monohydrate,Costco/GNC,in-store,powder,focus/strength,Any,kidney disease; consult clinician,Unknown,Unknown,varies,varies,Creatine sometimes used beyond performance; keep simple
IBX-0044,Endurance,Beet root powder,HumanN SuperBeets / similar,GNC / Vitamin Shoppe,in-store,powder,endurance,Pre-training,kidney stones risk (oxalate),Unknown,Unknown,~$35-50,~$35-50,Nitrate support; check sugar
IBX-0045,Endurance,Beta-alanine,Cellucor / BodyTech / NOW Sports,GNC / Vitamin Shoppe,in-store,capsule/powder,endurance,Any,paresthesia/tingles,Unknown,Unknown,~$15-30,~$15-30,Evidence-based for high-intensity endurance
IBX-0046,Endurance,Citrulline malate,Kaged / NOW Sports,Vitamin Shoppe,in-store,powder,pump/endurance,Pre-training,low blood pressure,Unknown,Unknown,~$20-35,~$20-35,Common in performance stacks
IBX-0047,Fiber,Psyllium husk fiber,Metamucil / Kirkland,Costco,in-store,powder,gut,Any,GI obstruction risk,Unknown,Unknown,~$20-35,~$20-35,Useful for general gut regularity
IBX-0048,General Health,Vitamin C,Kirkland / Nature Made,Costco,in-store,tablet,general health,Any,kidney stones risk,Unknown,Unknown,~$10-15,~$1-3,Basic staple
IBX-0049,General Health,B-complex,Nature Made,Costco / Vitamin Shoppe,in-store,tablet,energy metabolism,AM,sensitive stomach,Unknown,Unknown,~$10-20,~$10-20,Often unnecessary if diet solid; optional
IBX-0050,General Health,CoQ10,Kirkland / Qunol,Costco,in-store,softgel,general health,AM,blood thinners,Unknown,Unknown,~$25-45,~$25-45,More for older adults; optional
IBX-0051,Protein,Whey isolate,Dymatize ISO100,GNC / Vitamin Shoppe,in-store,powder,protein/recovery,Any,dairy allergy/lactose intolerance,Unknown,Unknown,~$35-70,~$35-70,Popular isolate option
IBX-0052,Protein,Whey isolate,Isopure Zero Carb,GNC / Vitamin Shoppe,in-store,powder,protein/recovery,Any,dairy allergy,Unknown,Unknown,~$35-75,~$35-75,Low-carb isolate
IBX-0053,Protein,Plant protein,Garden of Life Sport Plant-Based Protein,Vitamin Shoppe,in-store,powder,protein/recovery,Any,GI sensitive,Unknown,Unknown,~$35-55,~$35-55,Plant-based athlete protein line
IBX-0054,Protein,Ready-to-drink protein shake,Fairlife Core Power,Costco,in-store,liquid,protein/recovery,Any,dairy allergy,Unknown,Unknown,~$25-40,~$25-40,Convenient RTD
IBX-0055,Hydration,Coconut water,Vita Coco / Kirkland,Costco,in-store,liquid,hydration,Training,added sugar,Unknown,Unknown,~$20-30,~$20-30,Whole-food hydration
IBX-0056,Recovery,Ashwagandha,Goli / Nature Made / KSM-66 brand,Costco / Vitamin Shoppe,in-store,capsule/gummy,stress/recovery,PM,thyroid meds; pregnancy,Unknown,Unknown,~$15-30,~$15-30,Use cautiously; avoid for NCAA safety claims
IBX-0057,Sleep/Calm,Melatonin (low dose),Natrol,Costco / Vitamin Shoppe,in-store,tablet,sleep,PM,under 18; grogginess,Unknown,Unknown,~$10-15,~$2-5,Consider only if user requests; not for everyone
IBX-0058,Recovery,ZMA blend,GNC / BodyTech,GNC / Vitamin Shoppe,in-store,capsule,recovery/sleep,PM,nausea; high zinc long-term,Unknown,Unknown,~$15-30,~$15-30,Common athlete staple; watch zinc
IBX-0059,Endurance,Carbohydrate powder,Tailwind / similar,Vitamin Shoppe,in-store,powder,endurance fuel,Training,GI sensitive,Unknown,Unknown,~$30-50,~$30-50,Training fuel for long sessions
IBX-0060,General Health,Electrolyte gummies,SaltStick FastChews,Vitamin Shoppe,in-store,tablet,hydration,Training,hypertension,Unknown,Unknown,~$15-25,~$15-25,Easy in-game option
IBX-0061,Focus,Caffeine + L-theanine,Nature's Bounty / others,Vitamin Shoppe,in-store,capsule,focus,AM,caffeine sensitive,Unknown,Unknown,~$15-30,~$15-30,Only for caffeine-tolerant users
IBX-0062,Sleep/Calm,Chamomile tea,Traditional Medicinals,Costco / Vitamin Shoppe,in-store,other,sleep/calm,PM,ragweed allergy,Unknown,Unknown,~$5-10,~$5-10,Food-based calming routine
IBX-0063,Recovery,Protein bar,RXBAR / Quest,Costco / GNC,in-store,other,protein,Any,nut allergy,Unknown,Unknown,~$20-35,~$20-35,Convenient snack
IBX-0064,General Health,Greens powder,AG1-style greens alternative,Vitamin Shoppe,in-store,powder,micronutrients,AM,GI sensitive,Unknown,Unknown,~$30-80,~$30-80,Only if tolerated; many have adaptogens
IBX-0065,Gut,Prebiotic fiber,Sunfiber / inulin,Vitamin Shoppe,in-store,powder,gut,Any,gas/bloating,Unknown,Unknown,~$25-45,~$25-45,For gut regularity
IBX-0066,Recovery,EAA/BCAA,Xtend / Scivation,GNC / Vitamin Shoppe,in-store,powder,recovery,Training,GI sensitive,Unknown,Unknown,~$20-40,~$20-40,Often redundant if protein adequate
IBX-0067,Performance,Betaine anhydrous,BodyTech / NOW Sports,Vitamin Shoppe,in-store,capsule/powder,strength,Any,GI sensitive,Unknown,Unknown,~$15-30,~$15-30,Optional ergogenic
IBX-0068,Performance,HMB,GNC / BodyTech,GNC / Vitamin Shoppe,in-store,capsule,recovery,Any,GI sensitive,Unknown,Unknown,~$20-40,~$20-40,More niche; consider for beginners
IBX-0069,General Health,Calcium + Vitamin D,Kirkland / Citracal,Costco,in-store,tablet,bone,AM,kidney stones risk,Unknown,Unknown,~$15-25,~$5-10,More relevant if dairy intake low
IBX-0070,General Health,Vitamin K2,Sports Research / NOW,Costco / Vitamin Shoppe,in-store,softgel,bone,Any,blood thinners,Unknown,Unknown,~$15-30,~$15-30,Often paired with D3
IBX-0071,General Health,Magnesium citrate,Nature Made,Costco,in-store,softgel,muscle,PM,diarrhea prone,Unknown,Unknown,~$12-20,~$4-8,Cheaper but more laxative
IBX-0072,Gut,Peppermint oil capsules,IBgard / similar,Vitamin Shoppe,in-store,capsule,GI comfort,With meals,reflux,Unknown,Unknown,~$25-40,~$25-40,For GI discomfort; optional
IBX-0073,Recovery,Electrolyte + magnesium,Natural Vitality Calm,Vitamin Shoppe,in-store,powder,calm/hydration,PM,diarrhea prone,Unknown,Unknown,~$25-35,~$25-35,Popular magnesium drink
IBX-0074,Focus,Rhodiola rosea,Gaia Herbs,Vitamin Shoppe,in-store,capsule,stress/focus,AM,bipolar; pregnancy,Unknown,Unknown,~$25-40,~$25-40,Herbal; use cautiously
IBX-0075,Sleep/Calm,CBD-free calming gummy,OLLY,Costco,in-store,gummy,calm,PM,added sugar,Unknown,Unknown,~$15-20,~$15-20,Not 'sport certified'; optional
IBX-0076,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0077,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0078,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0079,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0080,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0081,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0082,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0083,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0084,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0085,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0086,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0087,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0088,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0089,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0090,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0091,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0092,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0093,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0094,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0095,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0096,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0097,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0098,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0099,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
IBX-0100,General Health,Electrolyte drink mix,BodyArmor Lyte / similar,GNC / Vitamin Shoppe,in-store,liquid,hydration,Training,added sugar/artificial sweeteners,Unknown,Unknown,~$20-30,~$20-30,Choose low-sugar options
